0,0.639,18.3
1,0.432,29.2
2,0.297,42.8
3,0.156,51.9
4,0.234,58.2
5,0.122,64.1
6,0.153,68.8
7,0.134,70.7
8,0.139,72.3
9,0.103,73.6
10,0.081,75.1
11,0.142,75.7
12,0.057,76.4
13,0.052,77.3
14,0.054,78
15,0.08,78
16,0.06,78.2
17,0.061,78.6
18,0.057,78.8
19,0.074,78.7
20,0.038,78.9
21,0.029,79.2
22,0.03,79.4
23,0.058,79.3
24,0.067,79.5
25,0.066,79.6
26,0.044,79.6
27,0.045,79.7
28,0.046,79.8
29,0.049,79.8
30,0.03,79.8
31,0.047,79.9
32,0.042,79.9
33,0.036,80
34,0.039,80
