0,0.2575,93.3
1,0.0694,95.4
2,0.119,96.1
3,0.1149,96.2
4,0.0596,96.4
5,0.056,96.6
6,0.0632,96.6
7,0.0305,96.7
8,0.0361,96.6
9,0.0476,96.7
10,0.0569,96.6
11,0.0231,96.7
12,0.0838,96.7
13,0.0592,96.8
14,0.0504,96.8
15,0.0475,96.7
16,0.0627,96.7
17,0.0538,96.7
18,0.0396,96.8
19,0.039,96.8
20,0.0275,96.8
21,0.0441,96.8
22,0.0436,96.8
23,0.0449,96.8
24,0.036,96.7
25,0.0721,96.7
26,0.0384,96.8
27,0.0457,96.8
28,0.0304,96.8
29,0.0247,96.8
30,0.0429,96.8
31,0.0447,96.8
32,0.031,96.8
33,0.0433,96.8
34,0.0491,96.8
